SS2_Donor01_CD4T_CD19-CAR_rep1	SS2_Donor01_CD4T_CD19-CAR_rep2	SS2_Donor01_CD8T_CD19-CAR_rep1	SS2_Donor01_CD8T_CD19-CAR_rep2	SS2_Donor01_CD4T_CD19-CAR-CD25_rep1	SS2_Donor01_CD4T_CD19-CAR-CD25_rep2	SS2_Donor01_CD8T_CD19-CAR-CD25_rep1	SS2_Donor01_CD8T_CD19-CAR-CD25_rep2	SS2_Donor02_CD4T_CD19-CAR_rep1	SS2_Donor02_CD4T_CD19-CAR_rep2	SS2_Donor02_CD8T_CD19-CAR_rep1	SS2_Donor02_CD8T_CD19-CAR_rep2	SS2_Donor02_CD4T_CD19-CAR-CD25_rep1	SS2_Donor02_CD4T_CD19-CAR-CD25_rep2	SS2_Donor02_CD8T_CD19-CAR-CD25_rep1	SS2_Donor02_CD8T_CD19-CAR-CD25_rep2	SS2_Donor03_CD4T_CD19-CAR_rep1	SS2_Donor03_CD4T_CD19-CAR_rep2	SS2_Donor03_CD8T_CD19-CAR_rep1	SS2_Donor03_CD8T_CD19-CAR_rep2	SS2_Donor03_CD4T_CD19-CAR-CD25_rep1	SS2_Donor03_CD4T_CD19-CAR-CD25_rep2	SS2_Donor03_CD8T_CD19-CAR-CD25_rep1	SS2_Donor03_CD8T_CD19-CAR-CD25_rep2
WBP5	0	0	0	3.413168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5975615	0	0	0	0	0
WBSCR16	4.99749	7.45051	13.7545	14.0946	2.73249	1.15866	19.047	9.20932	8.63075	4.78326	9.51649	19.7644	4.65455	1.11373	2.26287	11.1162	0	0	18.5343	6.61807	6.43266	4.82485	0	11.4254
WBSCR17	0.657395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBSCR22	115.12059	87.3807	57.3835	71.0516	138.4347	77.6412	75.835	45.1279	98.3471	111.857	108.79138	75.1011	87.7253	104.06021	84.1175	86.9001	52.8722	223.582	61.87048	64.852	78.302	111.38586	92.7908	117.50113
WBSCR27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.50312	0	0	0
WBSCR28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9838	0
WDFY1	16.8441	8.43769	7.59581	6.35723	6.79975	6.32656	7.43366	5.48786	2.14522	17.7982	6.49032	5.67462	9.24204	10.5024	11.2415	7.18054	4.22386	13.4039	3.87228	2.63874	5.31177	0.479751	5.42261	5.68134
WDFY2	20.5555	12.8722	12.0432	5.42945	19.8976	13.3313	8.2431	5.57863	7.84873	47.774	18.7181	22.0315	19.7309	17.5334	19.8821	17.516	3.68	46.0761	5.31495	8.0408	20.0966	4.6806	19.8503	23.8643
WDFY3	0	0	0	0.19898	0	0	0	0.143227	0	0	0.184643	0	0	0	0	0.17306	0	0	0	0.207117	0	0.451114	0	0
WDFY3-AS2	3.16946	0	0	0	0	0	0	0	0	0	0	0	1.84181	1.76316	0	0	0	0	0	0	0	0	0	0
WDFY4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.497624	0	0	0	0	0	0	0	0	0	0
WDHD1	14.2358	15.550980343	4.5981	5.37467183483	10.2939	6.96108	4.67583219219	6.57353	8.11663	8.52578	10.7099	8.97338	5.2434	6.68994	6.80423	8.42814	46.3912	0	5.12563	6.09058690969	9.38685382475	9.222570292141	10.4802	5.339670457186
WDPCP	5.16707	1.59775	1.07422	4.49851	4.53607	5.56554	2.96308	1.29397	4.04479	1.94057	2.50539	2.19066	1.63462	7.0396	4.77033	1.56246	2.76729	5.17101	1.74961	0	3.76087	0	4.90656	1.81396
WDR1	308.915	270.53	226.862	234.6128	312.545	347.202	188.1709	227.8165	369.476	316.563	288.409	357.1408	182.9800014881	329.6335	352.0065	348.2638	237.03862437	143.793	183.746000546581	182.0897	260.578	341.686	326.971	284.624
WDR11	18.7815	12.8155	7.3842	9.26973	11.899	29.6323	13.7959	9.33598	20.1595	20.185	18.3539	18.5545	16.8455	30.0909	23.4956	13.4239	41.648	0	14.5864	5.13084	31.4963	24.7186	21.6705	15.342
WDR11-AS1	4.53681	5.30962	1.87632	1.37178	6.96178	0	1.92808	4.81446	4.2796	6.17099	2.08952	7.47458	5.74815	6.86986	3.04805	0	0	4.77788	3.10417	5.70944	0	2.82304	3.47924	9.72772
WDR12	14.6343	14.4713	17.5772	8.03962	14.2833	10.9044	11.3807	15.4076	7.51993	16.2567	27.368	14.1421	6.08403	18.6341	4.73219	16.2723	40.6401	0	9.18088	8.30152	17.9406	0	19.0596	9.29103
WDR13	27.4442	58.9693	45.68860260946	42.6404	30.8601	39.68471	44.5816	29.19091	35.7512	64.3519	48.869	42.99939	10.707800232949	11.54979	74.53209	40.41095	68.619	39.49440342983	47.1322	36.20583	59.93280334477	40.8306	45.3251	70.66791145
WDR16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR17	2.93424	5.52364	1.1142	0.815672	0	3.83675	2.85252	2.02947	2.29298	1.47819	1.17007	2.07703	2.88351	3.47089	2.55992	2.81056000402793	3.74449	5.44	2.75884	1.6441400041607	2.83875	0.948397	2.49082	0.808127
WDR18	78.6768	102.639	36.7063	74.0162	100.468	92.9041	50.1404	30.9988	69.0826	117.052	110.745	103.542	82.1044	108.966	88.8219	74.7808	103.13	55.0257	46.9516	71.8214	127.516	145.189	138.505	107.673
WDR19	1.01072	0.537949	0.774792	0	0	0	0	0	1.45878	0	0	0.526228	0.589209	2.25537	1.14667	0	0	0	0	0	0	12.2339	0	1.28779
WDR20	35.5862703803741	30.63529493547	8.52972	16.74558	14.5097766	15.65534183591	18.17045698868	5.2833045514187	23.0276	32.2780573604164	18.942368	16.0053	13.6988874	20.435575	28.95910202128	26.33699	19.3245	11.4971	9.02234	20.4148778454	15.125225321145	20.097	24.21174287009	28.333488545704
WDR24	18.3832	22.7037	3.37788	7.54521	4.02921	5.97153	11.0224	12.8856	14.8385	23.7651	14.0076	24.4962	9.42427	27.0578	14.1674	13.102	0	0	10.053	10.7425	13.4057	1.42211	12.5173	16.8396
WDR25	9.71702	9.05566	5.56518	6.22591	9.94455	1.40717	6.60734	2.23653	1.7459	13.0736	8.67104	7.06994	22.6113	19.46925	12.3628	10.7957	0	5.95652	2.36981	0	2.42948	3.51346	2.95247	6.16253
WDR26	11.50817	12.29004439	5.02666	8.4697707	5.44120558	14.5613841	8.5566239	5.78998052	9.53315	13.04179222	9.4322979	8.1873	11.54561727	3.68264115	6.32236	9.5713403	31.3669	19.4892853	8.38385	8.361996	8.77862	10.478	9.22986406	7.93846
WDR27	7.49672	4.24785	1.97048	0.886329	5.28978	1.75074	2.63012	2.76101	4.8523	0.769929	0	3.34782	1.75828	5.26612	5.36615	0.747097	2.54549	1.85393	1.89111	1.91783	10.5201	2.65722	3.21156	6.54946
WDR3	8.30804	17.6888	16.3689	6.85222	8.13859	12.2158	4.85494	8.21407	9.41671	11.3684	16.9601	12.0562	20.7514	18.5347	7.40285	13.8876	41.1809	17.508	17.3904	10.2616	15.2718	10.338	6.49489	14.358
WDR31	0.947795	1.053088	0	3.634208	2.918912	1.098136	1.28641	0	1.370931	1.134718	1.124598	1.971675	9.23921	6.55456	0	2.10943	2.45914	0	0	1.251964	1.112504	1.829377	2.462347	0
WDR33	34.8467	36.44434	23.83837	26.26597	21.94986	39.621	16.10926	24.5892	32.46459	52.4043	26.21046	27.14257	45.3981	50.04646	34.78444	36.00942	81.7337	32.8457	22.5288	28.35638	30.97286	31.60377	39.44046	26.03339
WDR34	104.734	101.549	47.1341	53.3271	98.839	93.3014	51.1024	48.1897	86.7882	213.527	132.578	139.697	60.9055	74.7433	151.766	102.87	55.3922	111.88	66.7861	95.6638	106.613	77.6216	101.169	119.123
WDR35	3.9078	2.0796	1.9989169	1.6719801	5.3707796	3.0258389	0.889017	1.8047146	1.8819342	3.49374	1.9395493	1.0174422	0.37986801	1.81753	1.4789491	1.08482	0	0	0.31827176	1.73775	2.43181	5.0507123	1.9804651	2.0769057
WDR36	8.20488	14.5547	4.72141	4.38823	5.63781	3.97064	5.59971	5.9995	10.8656	2.45709	8.14493	10.6814	5.58297	9.92146	12.0323	6.86603	22.501	2.5243	5.34605	6.38393	3.66501	9.60967	6.65333	9.15683
WDR37	15.9503	28.9783	6.07117	6.98664	20.3809	14.3656	8.10213	7.76745	4.28657	18.9676	4.12647	8.24653	15.0048	12.702	15.1623	12.6926	4.22005	3.65231	5.38418	5.93183	7.96044	15.3382	10.2334	19.5514
WDR38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9677000626401	0	0	0	0	0
WDR4	17.5983294	17.28422	7.417609	12.08701	8.82579	14.53043	19.01102	4.99789	24.11368	9.45369	6.81807	43.3329	11.32701	36.4034	16.00571	23.95901	47.4245	3.97089	10.0628	14.05466	41.03946	9.36256	37.4487	31.04475
WDR41	5.54165	10.8183	8.47691	3.55264	2.52657	5.3546	5.03042	8.51245	26.5964	7.73622	14.2916	21.1491	20.435	7.20557	16.7341	17.4692	0	0	7.21255	6.12063	10.8971	0	0	16.4314
WDR43	32.3776	18.9935	15.183	12.7146	9.05712	29.9029	8.10644	8.53425	17.1509	22.1493	27.5374	26.8296	13.0908	12.5279	20.9755	11.7778	23.322	29.2335	12.9073	9.66107	18.4227	8.31014	13.6593	27.7553
WDR44	18.2525	16.4862	11.8688	6.4258642	8.13421	12.2723531	7.5887327	8.16751	11.1228	12.5835	14.12577	4.0559231	5.1896223	12.5704539	8.15579	11.1641541	36.3691	0	2.89683	0.788932	0	7.5415823	14.7981	7.7966604
WDR45	75.6011	70.5335	35.5646	32.63622	64.6023	65.4824	49.0317	27.06185	57.47925	70.8817	60.4885	43.0216	83.7289	58.6394	81.8312	66.744	12.6842	43.1623	50.6326	45.2869	27.5827	83.2919	50.7025	100.4487
WDR45B	46.5348	50.5228	33.4999	22.2286	37.444	22.2183	13.6671	26.9118	56.4949	51.3165	30.4104	27.5418	40.3774	21.3561	39.2651	26.3961	5.54625	15.6816	24.0488	14.5138	8.80795	25.5602	47.6988	41.7444
WDR46	42.2683	53.2678	33.2364	40.4179	56.4407	58.3313	41.4272	26.04493	37.6615621	104.0573	73.7562	50.92027	70.2982	58.3121	43.0642	48.1276	0	34.5783	31.4304	24.45591	76.645	46.16646	47.721057	62.1141
WDR47	3.15522676	4.47837	3.20694	5.3953251	10.1022803	11.59861	3.5861334	2.91301	6.8300658	3.14854004	4.3838287	8.21365	7.35882	9.9736875	11.9339	10.5545	3.20206664	0	6.6788008	0.69998436	0	2.54578839	6.39693	6.6993942
WDR48	16.8733	16.6324	14.3624	16.0345	6.85476	20.3066	5.96399	13.8386	10.8162	25.4388	17.8597	19.5197	13.8389	11.1526	17.7153	12.5336	47.1645	27.6525	10.377	14.1266	24.7945	14.5129	11.3991	16.7085
WDR49	0	0	0	0	0	0	0	0	0	0	0	0	1.05992	0	0	0	0	0	0	0	0	0	0	0
WDR5	19.183038899	26.6872	10.1677	13.6386	20.8059	28.255169	8.27963	7.70524	25.1773	22.96188854	23.71749565	35.5822	23.008	8.22689	25.8225	19.4525	63.7334	54.1171	19.2842	4.03403	41.144	11.415	19.528700156634	23.1892
WDR52	0	0	0	0.558236	3.879	0.8211541	0.296899	1.30565	1.02031	0	0	1.47365	0	0	0.246958	0.788276	1.06049	0	4.147128	0	0	0	2.38016	4.50306
WDR52-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.60723	0	0	0	0
WDR53	4.74732	1.6859	2.41201	6.07913	12.9175	21.9762	6.44615	7.27462	4.53954	11.3473	15.0548	21.3971	22.07	10.5637	10.7201	7.01983	15.3435	27.1179	13.8826	8.32953	10.1895	7.61223	11.5357	4.005
WDR54	133.96	127.771	85.6187	84.1417	177.954	208.965	168.588	107.735	177.874	81.3391	153.555	202.728	226.2	133.089	211.556	197.347	300.89	166.3	141.801	122.688	275.095	153.05	202.591	198.297
WDR55	67.63	40.8934	29.6519	26.527	55.2163	63.924	22.8875	31.8222	81.1835	64.2086	63.9098	63.9061	76.2068	40.7815	53.365	53.4276	19.1385	42.4576	33.6318	40.808	55.8496	40.3762	56.5705	56.3999
WDR59	5.66973	7.37723	7.72145	16.9717	13.8194	10.966	9.44729	6.39367	3.63432	9.05064	11.2522	2.62358	8.07645	8.43172	5.71445	10.5286	4.60097	7.74295	6.76856	7.53862	8.7818	17.6772	5.36243	3.2081
WDR5B	4.20975	2.10448	2.69851	4.95933	3.76929	3.34136	4.48399	1.60791	0.796789	4.46725	2.56742	9.45396	5.34447	3.01568	2.68903	8.03418	2.46778	0	2.22563	3.8311	0	2.00414	4.51779	2.23346
WDR6	42.0129	62.7017	37.896	40.2856	76.7351	56.6383	26.0536	33.0778	62.2027	44.5639	54.4802	66.3139	50.3825	20.6315	51.3429	82.8684	109.686	56.8649	44.9695	32.9732	64.3114	85.9027	77.1235	55.4306
WDR60	9.16221	7.1528	6.55151	7.05269	15.0764	8.50653	2.49839	6.7633	7.92946	15.3575	5.09147	6.35964	8.54324	10.901	6.23381	12.2513	1.48715	3.00325	2.98319	4.06162	4.5848	7.6842	5.94225	5.44413
WDR61	87.3501	62.8456	76.3092	72.6221	106.44	105.96	59.1544	66.1104	71.7933	119.921	96.0076	102.147	30.4027	99.4596	100.819	67.613	47.512	202.625	57.3997	68.5224	103.169	180.035	63.6419	60.5651
WDR62	15.904235	12.7845	4.433728	2.46597	10.584684	21.7523	7.889074	5.338805	5.565421	15.006018	12.5879	10.0052	18.544096	0.5377353	14.764263	6.985363	0.5870335	0	3.767019	8.985169	9.817471	7.468096	9.964175	7.983963
WDR63	0	0.826782	0	0	0	0	1.058	0	0	0	0	0	0	0	0	0	0	0	0	1.03085	3.33116	1.50143	0	0
WDR64	0	0	0.802499	0	0	0	0	0	0	0	0	0	1.22061	0.584037	0	0	0	0	0	0	0	0	0	0
WDR65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40232
WDR66	0.670275	1.42718	1.02671	0	3.67469	0	1.82728	0	0	2.30335	1.59619	0	3.12442	1.49504	0	0.746666	0.815741	0	0.654636	0.890823	0.718767	0.679531	0.815044	1.70624
WDR67	27.63486	14.0565	10.11290156069	8.46873	13.8662	16.8531	11.6987	7.91751	1.04212	15.8067	11.005	17.8702	3.84676	21.3518	12.7236	17.6507	1.75927	69.7725	9.67171	4.38745	1.55057	9.57998	9.66955	9.24344
WDR7	9.38965625924	14.32420886999	6.2446457186	6.4283638644	10.3255	11.63360983335	2.99090850098	3.46941515935	12.2105132671	12.373	9.6942741078	9.45332838451	9.85836787947	14.6741246489	8.8848362131	6.6361388105	8.39372	23.8837565873	4.28286708012	4.5936481708	5.0329527054	8.79937235379	11.8021	13.5754
WDR70	32.8209	8.43726	21.2695	14.5051	24.726	28.8525	9.66502	9.38055	14.648	39.7319	17.5074	20.2543	13.171	23.9526	17.9255	40.8218	101.713	2.77605	7.7298	19.4559	19.7662	30.866	33.0148	11.6581
WDR72	0	0	0	0	0	0	0	0	0.444254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.392226
WDR73	45.7633	19.8834	20.5861	13.7535	33.6635	45.5767	14.3901	21.9204	7.60346	30.0625	31.1504	24.8479	46.1735	41.2513	32.9072	48.462	29.2617	0	20.6495	26.1934	34.1505	22.9514	27.338	45.4389
WDR74	41.5302	57.7238	15.1475	22.9564	75.59	52.2815	17.8994	21.2259	48.1961	37.0063	57.2229	62.0944	29.8512	40.9287	58.0963	41.2403	0	95.3098	33.149	19.4823	136.042	32.7413	19.3873	23.6719
WDR75	14.0884	30.94	14.8195	14.6778	14.4573	20.4218	9.59326	8.11665	17.7534	7.37592	16.7701	24.746	14.3568	23.555	14.9593	23.5168	11.7766	17.2972	14.613	16.346	38.7202	28.0735	17.1279	29.0998
WDR76	35.5931	41.7612	15.9274	14.6586	47.3228	34.285543397	17.8435	26.3794	30.2226	43.080048	34.896755369	46.84622	26.1956	53.3394	36.769	39.638500207703	36.6116	40.0806	22.3587	23.3876	31.8509	28.6620900358	38.1701	37.811848261
WDR77	67.0477	66.148	15.0774	21.4889	13.4794	51.4373	21.4752	13.628	29.9757	43.6485	26.9908	35.9167	30.995	60.4296	41.3	43.867	65.9045	2.42004	22.1338	18.283	49.7078	10.4721	51.5402	35.0686
WDR78	0	0	0	1.79718	0	0	0	1.29077	2.01443	0	0	0	0	1.56167	3.17062	0	0	0	0	0	0	0	1.70485	0
WDR81	19.88505	17.11423	14.986476	10.30898	22.02096	10.17214	12.94413	8.340382	10.43054	3.53293	10.76329	12.54787	15.45178	19.49202	7.453	16.274055	0	0	12.84348	13.58623	9.40283	27.55606	8.8843	14.57837
WDR82	54.7833	39.6356	21.0786	30.5667	39.4951	42.1614	26.8523	30.0101	44.322	39.467	25.4022	51.4649	48.3173	42.8717	36.7312	38.0431	54.9052	55.437	33.749	44.0327	58.1492	49.4994	28.8618	46.9372
WDR83	28.6215	23.6376	19.7897131576	11.1064	74.6359	31.60324	32.3432	17.9275875025	50.9117	15.5492	41.2706	47.83446	22.6672	17.2704	39.954613762	31.207	0	42.4065	21.1333	21.7459513303	29.3933	31.2171	34.9906	16.4208
WDR83OS	247.019	277.38	255.319	124.464	226.891	205.627	174.665	177.918	239.88	220.711	227.505	249.422	251.863	158.426	196.664	282.467	113.386	371.268	160.988	235.029	238.724	294.102	255.32	162.804
WDR85	38.2592	15.4577	16.1101	21.9732	14.3897	27.5032	21.5205	24.2829	60.6459	20.5072	34.5283	59.0213	47.5694	26.439	38.7738	27.8348	41.623	0	24.4476	20.8925	21.2327	26.6966	25.6524	26.7563
WDR86	0	0	0	0	0	0	0	0	0	0	0	0	4.12337	0	0	0	0	0	0	0	0	0	0	0
WDR86-AS1	47.4674	35.0671	19.1777	16.2587	11.332	14.6577	29.4875	11.6187	6.00977	0	47.2354	26.5247	4.90448	43.1707	42.7016	4.65647	0	61.7392	21.2585	18.799	13.727	20.8173	15.4632	30.42084
WDR87	0	0	0	0	0	0	0.34132	0.4619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR88	0	6.07933	0	1.82754	0	1.6519	0	0	0	0	0	2.96844	4.97688	0	1.612	0	0	3.49516	0	0	0	0	1.7337	0
WDR89	11.0448	8.62334	11.2747	11.333	8.06919	11.95908	8.70202	10.00135	10.61309	23.797	12.91245	15.33067	11.1527	11.4945	17.5244	13.9395	0	22.9069	7.19036	9.77892	20.15053	4.27204	13.4295	6.5575
WDR90	6.54374	2.61194	7.52831	3.67431	7.86438	5.69906	3.90665	1.88829	7.08741	6.36803	10.7173	5.96279	4.29278	11.8671	5.57034	5.01797	0	0	5.19564	4.90601	11.4004	3.56634	3.48206	8.34268
WDR91	5.99672	3.47373	3.91651	4.82872	7.05655	5.81674	7.00485	5.67932	9.0938	11.0022	4.76209	5.71841	6.75915	3.39924	2.56992	8.06721	1.9458	0	5.14245	4.19811	9.22765	6.73481	3.74307	11.3867
WDR92	11.5485	33.85741	5.65196	13.755	56.94615	22.4484	20.05957	11.14537	11.4001	36.3568	19.5284	28.0719	16.49255	21.92226	19.5689	21.7465	68.3592	35.9325	8.32153	12.30601	31.5507	34.69934	28.0327	18.983
WDR93	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09823	0	0	0	0	0	0	0	0	0	0
WDR96	0.422886	0	0	0	0	0	0	0	0	0	0	0.440385	0	0	0	0	0	0	0.413238	0	0	0	0	0
WDSUB1	4.0233010323	5.7140411092	2.0468125597	5.154379391	3.656266514	1.553129284	1.8228594883	0	0	0	4.73403	5.581027027	0	1.4930378867	1.5158151045	7.445281287	0	39.0113	1.3079312265	0	4.316833463	0	3.2595120377	11.897787734
WDTC1	3.78352	3.52396	4.35123	3.64143	5.19394	2.196341	3.87111	1.746433	7.50676	9.0621	5.06946	5.41731	5.5146	7.38485	2.683148	9.48826	0.576093	0	1.848389	4.40932	1.014131	10.5352	8.05263	1.20542
WDYHV1	9.43239	16.0823	8.6122	4.8286	25.6029	13.0878	7.67484	10.3951	37.8159	13.52	26.9098	37.2693	13.1434	16.7779	8.50829	8.35619	0	13.8368	14.7014	19.7947	20.2506	0	11.4569	7.14799
WEE1	5.77976	7.69187	5.53173	10.1935	9.8979	16.7638	9.4122	3.82207	10.4143	3.45926	9.46199	12.0341	7.57621	11.2787	9.00736	9.65525	1.75811	17.7526	11.2885	5.75787	14.7207	2.09602	12.2986	7.35398
WEE2	0	0	0	0	0	0	1.03818	0	0	0	0	0	0	0.849547	0	0	0	0	0.744017	0	0	0	0	0
WFDC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WFDC10A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WFDC10B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WFDC11	0	5.46631	7.65599	6.50843	13.5447	5.86341	0	18.5817	21.5888	0	12.1091	5.30237	5.88509	11.2791	5.6863	5.57901	6.10481	12.3319	0	0	5.50928	4.82183	18.5864	0
WFDC12	3.73225	0	0	4.75965	0	4.29268	0	0	0	0	0	3.87288	0	0	0	4.78659	0	0	0	0	4.01272	0	0	0
WFDC13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WFDC2	0	0	0	0	0	0	7.71274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WFDC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WFDC5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WFDC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WFDC8	0	7.32777	5.45213	2.97344	0	2.45338	0	0	0	0	0	0	0	2.37821	3.05011	0	0	0	0	0	2.41216	0	5.49315	6.25785
WFDC9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WFIKKN1	0	0	0	0	3.39313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WFIKKN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.781642
WFS1	0	5.4058	0	0	3.480755	0	0	0.585614	0.91541	0	0	3.965059	0	5.66343	1.439371	3.53284	0	0	0	0	4.76429	0	0	4.040289
WHAMM	7.51332	10.2962	9.98517	4.41286	7.03271	5.65196	7.80111	7.39313	8.92124	3.96675	7.41782	8.00781	7.19228	12.9992	7.78025	9.42869	4.03678	7.43561	9.98258	10.4509	8.2219	18.5757	9.46546	9.66693
WHAMMP1	14.2095	7.58705	0	2.19701	13.1864	3.75528	0	10.231	6.62122	11.6877	5.23956	4.2705	12.4704	16.1801	9.12045	0	0	0	4.08639	4.33339	5.75441	2.63042	1.92819	5.84992
WHAMMP2	1.45109	3.19887	1.14094	3.08166	0	4.92272	2.5548	1.57607	2.96558	0	3.80544	3.22379	1.17792	1.78673	1.46651	2.43609	0	0	2.648	1.0881	2.99379	3.82415	4.94081	3.52027
WHAMMP3	7.61382	9.08354	5.20948	0	7.15043	8.79414	4.2084	3.90617	5.93917	8.42966	0.367839	2.94405	8.25499	8.91407	6.63981	6.44318	3.91846	0	1.12525	2.68292	2.62627	2.43854	1.59369	5.46756
WHSC1	41.3920636	43.76939	22.3448145081383	28.2947400295039	54.3688800087546	38.72048	28.57251	26.427220311093	23.60909	31.41208	39.8211947530184	42.8499465	33.54485044	31.42364	33.82238175758	42.1921095129113	26.94376	18.6361	31.858257004742	26.2063442	52.0853340146157	38.42667	38.838781180765	45.93995408337
WHSC1L1	24.18289	29.13089	25.47653	21.60685	33.86816	25.5682	17.60477	18.42183	38.2027	45.5617	19.71576	28.58001	60.44591	54.0228	33.71606	27.41092	43.50041	64.29728	17.43943	23.22488	23.93995	23.12771	16.10375	31.7968
WIBG	156.2249	145.2979	89.7149	67.4184	114.237	107.182	82.3223	58.5057	171.2511	105.713	128.1476	111.9576	169.9101	81.9778	90.2339	130.587	35.2613	133.877	69.78710167161	90.5198	135.801	58.6317	102.2736	90.3995
WIF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WIPF1	85.6458	55.6408	58.016202909	76.3205	51.9355626772	55.4912	58.7832	67.2845	46.5283	64.3937	69.4411	60.821509	62.1149336901	66.27001	69.042600222473	71.0536	104.4622	112.25900179061	52.0512	73.200969	97.158	108.0418	79.9292	68.5161
WIPF2	11.8722	10.2828	10.7115	11.9137	11.4213	17.4608	7.92901	7.25179	13.725	14.2176	10.6928	16.451	14.8182	9.81305	13.6007	12.3904	4.06531	22.7554	10.912	16.0308	16.0886	4.47245	10.3509	13.9266
WIPF3	2.95129	3.68776	2.56446	1.47955	6.01298	1.29245	1.59487	1.51688	0	1.5857	3.94587	0	1.95913	0.613447	0.642084	1.32135	2.00247	1.75988	1.08708	1.51355	3.19327	2.7268	2.66582	2.09486
WIPI1	36.5629	36.2577	15.4006	9.69292	27.5163	18.9859	13.7142	9.28451	5.4353	16.5847	21	23.6126	17.6005	15.4432	14.2555	14.0043	0	27.8175	20.9069	11.6543	20.2902	29.1678	21.4518	31.9743
WIPI2	10.7821	16.06743885	8.65007971	11.9058963773	16.977413753	11.1377	6.3278259923	12.89936	15.6860059501	20.4119673271	9.822463276	13.52372404	12.7193	10.3519670507	8.1869542453	11.4932	2.59652	59.8381	8.51931395	12.352460798	2.7634756029	13.9753175333	18.322327186	10.0363020738
WISP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WISP2	0	0	0	0	0	2.08142	0	0	0	6.44987	0	1.87143	0	0	2.02995	0	0	0	0	0	0	1.72917	0	0
WISP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.62637
WIZ	6.6006	1.75662	3.3724	4.23455	3.01852	2.55388	0.750142	1.52296	1.58736	0	0	1.7182	1.92368	4.29542	1.87173	1.8393	2.00937	0	3.22412	2.196	5.30805	2.12994	0	0
WLS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WNK1	29.75976833711	26.06351	20.81832	22.84422	33.31066	27.65798	23.42919	17.93877	18.03895	32.83354	20.96954	21.85785	25.59972	29.080885495	18.3936	26.959229	38.998	78.717965	16.6877703	19.65174	57.65543	50.63097	35.10263	36.93141
WNK2	0	0	0	0	0	0	0	0.30428	0	0	0	0	0	0	0	0.36758	0	0	0	0	0	0	0	0
WNK3	0.87133614159	0.4262980639681	0.716898497548	1.051410619166	2.05577093354	0.696024146095	0.818057650162	0.1850030721776	0.737652203061	1.314750275086	0.712816719568	0.2113210469176	1.183030233483	1.116520498945	0.679980115549	0.97426723252	1.966830507099	2.22912144997	0.2021450888295	0.533757978396	0	0.5897660347283	0.879678287231	0.6110300937506
WNK4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06231	0	0
WNT1	4.17724	0	0	1.33866	0	0	0	0.962061	4.50768	0	0	0	1.21565	0	0	5.80602	0	0	2.03825	0	2.24044	9.07165	0	2.65206
WNT10A	0	0	0	0	2.73621	0	0	0	0	0	0	0	0	4.461	0	0	0	0	0	0	0	0	0	0
WNT10B	2.00724	1.06875	3.06909	1.28661	0	1.16343	1.36609	0	0	0	0	1.04452	0	0	0	2.23237	0	0	0.979506	0	0	0	1.22002	2.5494
WNT11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
